question,possible answers,Right answer,topic
What is the term used to refer to a substance that has a physiological effect when ingested or otherwise introduced into the body?,"a. Vitamin, b. Mineral, c. Hormone, d. Drug",d. Drug,medicine
1. What is the term used to describe the study of drugs and their effects on the body?,"a) Pathology, b) Anatomy, c) Pharmacology, d) Physiology, Answer: c) Pharmacology, 2. Which of the following is not a common symptom associated with influenza?, a) Fever, b) Cough, c) Headache, d) Conjunctivitis, Answer: d) Conjunctivitis, 3. The human heart is made up of how many chambers?, a) 2, b) 3, c) 4, d) 5, Answer: c) 4, 4. Which medical condition is caused by the inability of the pancreas to produce insulin?, a) Asthma, b) Diabetes, c) Hypertension, d) Arthritis, Answer: b) Diabetes, 5. What is the term used to describe a bacterial infection that is resistant to antibiotics?, a) Antibiotic-resistant bacteria, b) Superbug, c) Contagion, d) Infection",b) Superbug,medicine
What is the most common type of cancer in males?,"A) Prostate Cancer, B) Lung Cancer , C) Colorectal Cancer , D) Pancreatic Cancer ",A) Prostate Cancer,medicine
What is the smallest unit of life in the human body?,"A) Organ, B) Cell, C) Tissue, D) System",B) Cell,medicine
What is the main difference between a virus and a bacterial infection?,"A. Bacterial infections can be treated with antibiotics while viruses cannot., B. Viral infections can be treated with antibiotics while bacterial infections cannot., C. Both virus and bacterial infections can be treated with antibiotics., D. Both virus and bacterial infections cannot be treated with antibiotics.",A. Bacterial infections can be treated with antibiotics while viruses cannot.,medicine
What medication is typically used to treat high blood pressure?,"a) Aspirin, b) Insulin, c) Beta blockers, d) Antacid",c) Beta blockers,medicine
What is the most commonly prescribed medication for high blood pressure?,"A. Ibuprofen, B. Lisinopril, C. Metformin, D. Acetaminophen",B. Lisinopril,medicine
What is the name of the chemical messenger released by the body to reduce pain and induce pleasure?,"a) Endorphins, b) Dopamine, c) Histamine, d) Serotonin",a) Endorphins,medicine
What is the most commonly prescribed medication for high blood pressure?,"A) Aspirin, B) Metformin, C) Insulin, D) ACE inhibitors, E) Narcotics",Correct answer: D) ACE inhibitors.,medicine
What is the purpose of a vaccine?,"A) To cure a disease, B) To prevent a disease, C) To treat the symptoms of a disease, D) To decrease the lifespan of a disease",B,medicine
What is the most commonly used pain reliever in medicine?,"A) Aspirin, B) Paracetamol, C) Ibuprofen, D) Morphine",B) Paracetamol,medicine
What is the purpose of a prescription in medicine?,"A) To track the quantity of medicine purchased, ""B) To allow patients to buy medicine without a doctors advice "", C) To list the medication and dosages for the patient to follow , D) To advertise medicine to patients ",C,medicine
What is the active ingredient in aspirin?,"A) Acetaminophen, B) Ibuprofen, C) Salicylic Acid, D) Naproxen",C) Salicylic Acid,medicine
1. Which is not a common side effect of ibuprofen?,"a) nausea , b) headache , c) dizziness , d) constipation, Answer: b) headache, 2. What is the function of insulin in the body?, a) It helps regulate blood sugar levels , b) It aids in digestion , c) It boosts the immune system , d) It increases heart rate, Answer: a) It helps regulate blood sugar levels, 3. What vitamin deficiency can cause night-blindness?, a) Vitamin A , b) Vitamin B , c) Vitamin C , d) Vitamin D, Answer: a) Vitamin A, 4. What is the most common type of cancer in men?, a) lung cancer , b) colon cancer , c) skin cancer , d) prostate cancer, Answer: d) prostate cancer, 5. Which of the following is not a symptom of a heart attack?, a) chest pain , b) shortness of breath , c) nausea , d) an itching sensation",d) an itching sensation,medicine
"What is the study of the prevention, diagnosis, and treatment of disease?","A. Astronomy, B. Botany, C. Entomology, D. Medicine",D. Medicine,medicine
Which of the following is not a common side effect of taking antibiotics?,"a. Nausea, b. Diarrhea, c. Headache, d. Clear skin","d. Clear skin. Common side effects of taking antibiotics include nausea, diarrhea, and headache. However, antibiotics do not have a direct effect on skin clarity.",medicine
1. What is the difference between a virus and a bacteria?,"a) Bacteria are larger than viruses, b) Viruses can only replicate inside a host cell, while bacteria can replicate independently , c) Bacteria cause more diseases than viruses, Answer: b) Viruses can only replicate inside a host cell, while bacteria can replicate independently., 2. What is the function of antibiotics?, a) To boost the immune system, b) To destroy cancer cells, c) To kill or stop the growth of bacteria, Answer: c) To kill or stop the growth of bacteria., 3. What is the most common symptom of a heart attack?, a) Shortness of breath , b) Chest pain or discomfort , c) Dizziness or fainting ",b) Chest pain or discomfort.,medicine
What is the main role of antibiotics in medicine?,"A) To prevent viral infections, B) To reduce inflammation and pain, C) To kill or inhibit the growth of bacteria , D) To boost the immune system ",C) To kill or inhibit the growth of bacteria.,medicine
What medical condition is caused by the presence of too much glucose in the blood?,"a) Hypertension, b) Hyperthyroidism, c) Hyperglycemia, d) Hypoglycemia",c) Hyperglycemia,medicine
What is the most common medicine used to reduce fever?,"A) Antibiotics, B) Pain relievers, C) Antidepressants, D) Antihistamines",B) Pain relievers,medicine
What is the recommended daily dose of acetaminophen for a healthy adult?,"A) 500 mg, B) 1000 mg, C) 1500 mg, D) 2000 mg",D) 2000 mg,medicine
What is the medical term for high blood pressure?,"a) Hypertension, b) Hypotension, c) Hyperglycemia, d) Hypoglycemia",a) Hypertension,medicine
What is the difference between a virus and a bacteria?,"A. A virus is a living organism while bacteria is not., B. Bacteria can be treated with antibiotics while viruses cannot., C. Both viruses and bacteria can cause infections but viruses are generally more difficult to treat., D. There is no difference between viruses and bacteria.",B,medicine
What is the branch of medicine that deals with the study and treatment of mental illness?,"a) Oncology, b) Cardiology, c) Dermatology, d) Psychiatry",d) Psychiatry,medicine
What is the leading cause of death in developed countries?,"a) Cancer, b) Heart disease, c) Stroke, d) Diabetes",b) Heart disease,medicine
What is the unit of measurement for the effectiveness of a medication?,"A) Milliliter, B) Kilogram, C) Milligram, D) Centimeter",C) Milligram,medicine
What is the common name of Acetylsalicylic Acid?,"A) Aspirin, B) Ibuprofen, C) Paracetamol, D) Naproxen",A) Aspirin,medicine
What is a common side effect of chemotherapy?,"a) Nausea , b) Increased appetite , c) Lethargy , d) Clear skin",a) Nausea,medicine
"What does the term ""antibiotic"" mean in medicine?","A) A type of virus, B) A type of pain medication, C) A substance that kills or inhibits the growth of bacteria",C,medicine
What is the active ingredient in aspirin?,"A) Paracetamol, B) Ibuprofen, C) Acetylsalicylic acid, D) Naproxen",C) Acetylsalicylic acid,medicine
1. What is the recommended daily dose of aspirin for adults with heart disease?,"a) 50 mg, b) 100 mg, c) 150 mg, d) 200 mg, Answer: d) 200 mg, 2. What is the most commonly prescribed medication for high blood pressure?, a) Furosemide, b) Lisinopril, c) Metoprolol, d) Amlodipine, Answer: d) Amlodipine, 3. What is the active ingredient in Tylenol?, a) Acetaminophen, b) Ibuprofen, c) Naproxen, d) Aspirin, Answer: a) Acetaminophen, 4. Which type of insulin is fast-acting and is usually taken before meals?, a) Short-acting insulin, b) Intermediate-acting insulin, c) Long-acting insulin, d) Rapid-acting insulin, Answer: d) Rapid-acting insulin, 5. What is the recommended time interval for taking a daily dose of a medication for osteoporosis?, a) Once a day, b) Once a week, c) Once a month, d) Once every 3 months",b) Once a week,medicine
What is the leading cause of death in the United States?,"A) Cancer, B) Heart disease, C) Accidents, D) Stroke",B) Heart disease,medicine
What is the recommended daily dose of aspirin for adults to prevent heart attacks and strokes?,"a) 25 mg , b) 81 mg , c) 100 mg, d) 250 mg","b) 81 mg. This is a low dose and is usually recommended for primary prevention in adults age 50 and older. Higher doses may increase the risk of bleeding without providing additional benefits. However, it is important to consult with a doctor before starting any new medication.",medicine
What is the traditional Chinese medicine practice that involves the insertion of thin needles into the body?,"a. Acupuncture, b. Ayurveda, c. Homeopathy, d. Naturopathy",a. Acupuncture,medicine
Which of the following is an over-the-counter pain reliever?,"a. Ibuprofen, b. Morphine, c. Oxycodone, d. Acetaminophen",d. Acetaminophen,medicine
What is the largest organ in the human body?,"a) Heart, b) Lungs, c) Skin, d) Brain",c) Skin,medicine
What is the most common type of medication prescribed for high blood pressure?,"A. Antibiotics, B. Analgesics, C. Anticonvulsants, D. Antihypertensives","D. Antihypertensives are medications used to treat high blood pressure, which can help reduce the risk of heart attack, stroke, and other health problems associated with high blood pressure. Antibiotics are used to treat infections, analgesics are used to relieve pain, and anticonvulsants are used to treat seizures.",medicine
What is the definition of pharmacology?,"A) The study of drugs and their effects on the body., B) The study of microorganisms and their interactions with humans., C) The study of the structure and function of the human body., D) The study of mental and emotional disorders.",A) The study of drugs and their effects on the body.,medicine
What is the most commonly used pain reliever in the world?,"A) Aspirin, B) Ibuprofen, C) Acetaminophen, D) Naproxen",A) Aspirin,medicine
What is the term used to describe the study of drugs and their interactions with the human body?,"A) Physiology, B) Pathology, C) Pharmacology, D) Anatomy",C) Pharmacology.,medicine
Which of the following medications is commonly used to treat high blood pressure?,"A. Ibuprofen, B. Aspirin, C. Metoprolol, D. Acetaminophen",C. Metoprolol,medicine
What is the medical term for high blood pressure?,"A. Hypotension, B. Hypertension, C. Edema, D. Dyspnea",B. Hypertension,medicine
What is the smallest unit of life in the human body?,"A) Cells, B) Tissues, C) Organs, D) Organ systems",A) Cells,medicine
What is the most common type of cancer in men?,"a) Breast cancer, b) Pancreatic cancer, c) Prostate cancer, d) Lung cancer",c) Prostate cancer.,medicine
What is the name of the medication used to reduce fever?,"a) Antibiotic, b) Antidepressant, c) Antihistamine, d) Antipyretic",d) Antipyretic,medicine
What is the name of the hormone produced by the pancreas that regulates blood sugar levels?,"a) insulin, b) adrenaline, c) estrogen, d) progesterone",a) insulin,medicine
What is the recommended daily dosage of vitamin D for adults?,"A. 400 IU, B. 500 IU, C. 600 IU, D. 700 IU",C. 600 IU,medicine
What is the metric unit for measuring force?,"A. liter, B. meter, C. second, D. newton",D (newton),phisics
What is the law of conservation of energy?,"A) Energy cannot be created or destroyed, only transformed., B) The total amount of energy in a closed system remains constant., C) The rate of change of momentum of a body is directly proportional to the force applied., D) Any moving object will continue to move at a constant velocity unless acted upon by a force.",A,phisics
What is the formula for calculating force?,"A) F = m + a, B) F = m / a, C) F = m * a, D) F = m - a ",C) F = m * a,phisics
Which of the following is NOT one of Newton's Three Laws of Motion?,"A) Every action has an equal and opposite reaction., B) F=ma (force equals mass times acceleration)., C) An object at rest will stay at rest, and an object in motion will stay in motion unless acted upon by an unbalanced force., D) When two objects interact, the force exerted by the first object on the second object is equal in magnitude and opposite in direction to the force exerted by the second object on the first.","D) When two objects interact, the force exerted by the first object on the second object is equal in magnitude and opposite in direction to the force exerted by the second object on the first.",phisics
What is the SI unit of force?,"A) Newton (N), B) Joule (J), C) Watt (W), D) Ohm (Ω)",A) Newton (N),phisics
"Which law of physics states that for every action, there is an equal and opposite reaction?","""A) Newtons Law of Inertia"", ""B) Einsteins Theory of Relativity"", ""C) Boyles Law"", ""D) Newtons Third Law of Motion""",D) Newton's Third Law of Motion,phisics
What is the SI unit of force?,"A. Joule, B. Watt, C. Newton, D. Kilogram",C. Newton,phisics
What is the speed of light in a vacuum?,"A) 299,792,458 m/s, B) 1,000,000 m/s, C) 100,000,000 m/s, D) 500,000,000 m/s","A) 299,792,458 m/s",phisics
What is the formula for calculating force? ,"a) F = m/v , b) F = m*g , c) F = p*v , d) F = t/x ",Correct answer: b) F = m*g,phisics
What is the unit of measurement for force?,"A) Joules, B) Newtons, C) Watts, D) Kilograms",B) Newtons.,phisics
What is the main difference between kinetic and potential energy?,"a) Kinetic energy is energy in motion, while potential energy is stored energy, b) Kinetic energy is stored energy, while potential energy is energy in motion, c) Kinetic energy and potential energy are the same thing, d) Kinetic energy is energy produced by nuclear reactions, while potential energy is produced by chemical reactions","Right answer: a) Kinetic energy is energy in motion, while potential energy is stored energy.",phisics
What is the measurement of the resistance of an object to a change in its state of motion?,"a) Mass, b) Velocity, c) Force, d) Inertia",d) Inertia,phisics
What is the SI unit of electric current?,"a) joule, b) watt, c) ampere, d) volt",c) ampere,phisics
What is the unit of electrical resistance?,"A. Joule, B. Volt, C. Ampere, D. Ohm",D. Ohm,phisics
What is the unit for measuring electric current?,"A) Ohm, B) Watt, C) Volt, D) Ampere",D) Ampere,phisics
What is the formula for calculating kinetic energy?,"a) KE = 1/2mv^2, b) KE = mgh, c) KE = Fd, d) KE = P/t",a) KE = 1/2mv^2,phisics
What is the force that opposes motion between two surfaces in contact with each other?,"A. Gravity, B. Friction, C. Tension, D. Elasticity",B. Friction,phisics
What is the unit of force in the SI system?,"a) Newton (N), b) Joule (J), c) Meter (m), d) Kilogram (kg)",a) Newton (N),phisics
What is the law of conservation of energy?,"A) Energy can neither be created nor destroyed, only transformed from one form to another., B) Energy can be created or destroyed, depending on the situation., C) Energy can be created but cannot be destroyed., D) Energy can be destroyed but cannot be created.",A,phisics
What is the formula for Newton's second law of motion?,"A) F = m/g, B) F = ma, C) F = mg, D) F = mv",B) F = ma,phisics
What is Newton's Second Law of Motion?,"A) The force of an object is equal to its mass times its acceleration, B) The total energy of a system remains constant, C) Every action has an equal and opposite reaction, D) An object in motion will stay in motion, and an object at rest will stay at rest unless acted upon by a force",A,phisics
What is the unit of measurement for force in the Metric System?,"A) Newton (N), B) Pound (lb), C) Kilogram (kg), D) Joule (J)",A) Newton (N),phisics
What is the fundamental force responsible for holding the nucleus of an atom together?,"a) Gravity, b) Electromagnetic force, c) Weak force, d) Strong force",d) Strong force.,phisics
What is the formula for calculating work done on an object?,"a) W = Fd, b) P = W/t, c) F = ma, d) KE = 1/2mv^2",a) W = Fd,phisics
What is the formula for calculating kinetic energy? ,"a) KE = mv² , b) KE = 1/2mv² , c) KE = m/v , d) KE = mv ",b) KE = 1/2mv²,phisics
Which of the following particles has the least amount of mass? ,"a) electron, b) proton, c) neutron , d) helium nucleus (alpha particle)",A: a) electron,phisics
What is the formula for calculating force?,"A) F = ma, B) E = mc², C) P = F/A, D) V = IR",A) F = ma,phisics
What is the SI unit for force? ,"a) Kelvin (K), b) Second (s), c) Newton (N), d) Joule (J)",c) Newton (N),phisics
What is the formula for calculating force?,"A) F = ma, B) a = F/m, C) m = F/a, D) None of the above",Correct answer: A) F = ma,phisics
Question:,"What is the unit of measurement for power in the International System of Units (SI)?, a) Joules (J), b) Watts (W), c) Newtons (N), d) Meters per second (m/s)",Right answer: b) Watts (W),phisics
What is the principle of conservation of energy in physics?,"a. Energy can be destroyed, but not created., b. Energy can be created or destroyed, but not both., c. The amount of energy in a closed system remains constant over time., d. The velocity of an object is proportional to the force applied.",c. The amount of energy in a closed system remains constant over time.,phisics
"What law states that for every action, there is an equal and opposite reaction?","""A) Newtons Third Law"", ""B) Ohms Law"", ""C) Boyles Law"", ""D) Pascals Law""",A) Newton's Third Law.,phisics
What causes the bending of light when it passes through a medium of different refractive index?,"a) Reflection, b) Dispersion, c) Absorption, d) Refraction",d) Refraction,phisics
What is the nearest star to Earth?,"a) Sirius, b) Proxima Centauri, c) Betelgeuse, d) Vega",b) Proxima Centauri. It is a red dwarf star located about 4.24 light years away from Earth in the constellation of Centaurus.,phisics
What is the formula for calculating acceleration?,"A) a = v/t, B) a = F/m, C) a = m/F, D) a = t/v",B (a = F/m),phisics
What is the formula to calculate force (F)?,"A) F = ma, B) F = qvB, C) F = G(m1m2/d^2), D) F = P/A",A) F = ma,phisics
What is the SI unit for measure of work?,"A) Newton , B) Joule , C) Pascal , D) Watt ",B) Joule,phisics
What is the unit of measurement for force?,"A) Meters per second , B) Newtons , C) Kilograms , D) Joules ",B) Newtons,phisics
What is the force that opposes motion when objects are in contact?,"A) Friction, B) Gravity, C) Magnetic force, D) Electromagnetic force",A) Friction,phisics
"What is the scientific study of matter, energy and their interactions called?","A) Biology, B) Chemistry, C) Physics, D) Geology",C) Physics,phisics
What is the formula for calculating work done? ,"A) W = F x s , B) F = m x a , C) v = d/t , D) P = F/A ",A,phisics
What is the formula to calculate force?,"A) F = ma, B) E=mc², C) P = F/A, D) V = IR",A) F = ma,phisics
What is the formula to calculate gravitational force between two objects?,"a) F = G(m1+m2)/r^2, b) F = G(m1-m2)/r, c) F = G(m1/m2)-r^2, d) F = G(m1*m2)/r^2",a) F = G(m1+m2)/r^2,phisics
What is the unit of measurement for force?,"A) Ampere, B) Newton, C) Joule, D) Watt",B) Newton,phisics
What is the unit of measurement for electric current?,"A) Kelvin, B) Ampere, C) Joule, D) Newton",B) Ampere,phisics
What is the SI unit of energy?,"a) Kelvin, b) Joule, c) Newton, d) Watt",b) Joule,phisics
Which of the following is NOT a fundamental force of physics? ,"A. Gravitational force, B. Electromagnetic force, C. Strong force, D. Weak force",D,phisics
What is the process of converting matter into energy according to the famous equation E=mc^2?,"A) Nuclear fission, B) Nuclear fusion , C) Electromagnetic radiation, D) Gravitational pull",A) Nuclear fission,phisics
What is the formula to calculate kinetic energy?,"A) mgh, B) Fs, C) mv²/2, D) Fg",C) mv²/2,phisics
What is the unit of electric charge?,"a) Joules, b) Coulombs, c) Ohms, d) Amperes",b) Coulombs,phisics
What is the unit of measurement for electric current?,"A) Watt, B) Joule, C) Volt, D) Ampere",D) Ampere,phisics
What is the unit of electric current?,"a) meter, b) ampere, c) liter, d) kilogram",b) ampere,phisics
What is the unit of measure for force in physics?,"a. kilograms, b. meters, c. newtons, d. joules",c. newtons,phisics
"What is the expansion of the acronym ""EM"" in physics?","A) Electric meter, B) Electromagnetic, C) Electromagnetic wave, D) Electric magnetic field",B) Electromagnetic,phisics
What is the formula for calculating force?,"A) F = ma, B) F = mv, C) F = mgh, D) F = mg",A (F = ma),phisics
What is the formula for calculating the force (F) exerted by an object?,"A) F = mv, B) F = ma, C) F = mg, D) F = rg",B) F = ma,phisics
What is the formula for calculating kinetic energy?,"a) KE = 1/2mv^2, b) KE = mv^2, c) KE = mv, d) KE = 1/2mv",a) KE = 1/2mv^2,phisics
What is the formula for force?,"a) F = ma, b) F = qvB, c) F = G(m1m2/r^2), d) F = kq1q2/r^2",The right answer is a) F = ma.,phisics
What is the basic unit of electric charge in the International System of Units (SI)?,"A) Joule, B) Volt, C) Coulomb, D) Ohm",C) Coulomb,phisics
What happens to the speed of an object if no force is acting upon it?,"A. Speed increases, B. Speed decreases, C. Speed remains constant, D. Speed becomes zero","C. Speed remains constant. According to Newton's 1st Law of Motion, an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force. Therefore, if no force is acting upon an object, its speed will remain constant.",phisics
What is the formula for acceleration?,"a) a = m/v, b) a = vf - vi/t, c) a = mgh, d) a = F/m",d) a = F/m,phisics
What is the scientific name for the force that opposes motion between two surfaces in contact?,"a) Frictional force , b) Gravitational force , c) Electromagnetic force , d) Nuclear force ",a) Frictional force,phisics
What force causes objects to fall towards the ground?,"A) Electric force, B) Gravitational force, C) Magnetic force, D) Nuclear force",Correct answer: B) Gravitational force,phisics
What is the formula for calculating velocity?,"A. v = d/t, B. v = a/t, C. v = F/m, D. v = mgh",A. v = d/t,phisics
What is the unit of measurement for energy in the International System of Units (SI)?,"A) Newton (N), B) Joule (J), C) Watt (W), D) Meter (m)",B) Joule (J),phisics
What is the SI unit for energy?,"A) Joule, B) Newton, C) Watt, D) Pascal",A) Joule,phisics
What is the formula for calculating potential energy?,"A) P = mv , B) P = mgh , C) F = ma , D) E = mc²",B) P = mgh,phisics
What is the formula for calculating force?,"a) F = mass x acceleration, b) F = velocity x displacement, c) F = power x time, d) F = work / time",a) F = mass x acceleration.,phisics
What is the force that holds atoms and molecules together?,"A) Electromagnetic force, B) Gravitational force, C) Strong nuclear force, D) Weak nuclear force",A) Electromagnetic force,phisics
What is the name of the smallest known particle in physics? ,"a) Proton , b) Neutron , c) Electron , d) Quark ",d) Quark,phisics
What is the formula for calculating force?,"A) F = ma, B) F = p/t, C) F = E/t, D) F = P/A",A) F = ma,phisics
What is the SI unit of force?,"A) Watt, B) Newton, C) Joule, D) Ohm",B) Newton,phisics
Which force is responsible for an apple to fall to the ground?,"A. Strong Force, B. Electromagnetic Force, C. Weak Force, D. Gravitational Force",D. Gravitational Force,phisics
What is the formula to calculate kinetic energy?,"A) KE = 1/2 m²v², B) KE = mgh, C) KE = mv, D) KE = mv²",D) KE = mv²,phisics
What is the speed of light in a vacuum? ,"A) 299,792,458 m/s , B) 300,000,000 m/s , C) 299,792,458 km/s , D) 300,000,000 km/s ",A,phisics
What is the equation for calculating Kinetic Energy?,"A) KE = mv^2, B) KE = 1/2mv^2, C) KE = Fd, D) KE = PE + mv^2",B) KE = 1/2mv^2,phisics
What is the formula to calculate potential energy of an object?,"A) PE = mgh, B) F = ma, C) KE = 1/2mv^2, D) W = Fd",A) PE = mgh,phisics
"What is the law that states that energy cannot be created or destroyed, only transformed or transferred from one form to another?","""A) Newtons third law"", ""B) Ohms law"", ""C) Keplers law"", D) The law of conservation of energy",D) The law of conservation of energy.,phisics
Which of the following is a basic unit of measurement in Physics?,"A) Volt, B) Joules, C) Hertz, D) Meter",D) Meter,phisics
What is the speed of light in a vacuum?,"a) 300,000 km/h, b) 300,000 m/s, c) 30,000 m/h, d) 30,000 km/s","b) 300,000 m/s",phisics
What is the force that keeps objects in orbit around each other?,"a) Friction , b) Gravity , c) Tension , d) Momentum ",b) Gravity,phisics
What is the fundamental force that holds the nucleus of an atom together?,"A) Gravity, B) Electromagnetic Force, C) Strong Nuclear Force, D) Weak Nuclear Force",C) Strong Nuclear Force,phisics
What is the concept of energy conservation in physics?,"A) Energy can be created or destroyed, B) Energy can be transferred from one object to another, C) The total amount of energy in a closed system remains constant",C) The total amount of energy in a closed system remains constant.,phisics
What is the formula for calculating force?,"A) force = mass x acceleration, B) force = displacement x time, C) force = work ÷ time, D) force = momentum ÷ time",A) force = mass x acceleration,phisics
What is the force required to accelerate a 2 kg object at a rate of 3 m/s2?,"a) 6 N, b) 8 N, c) 12 N, d) 16 N",c) 12 N,phisics
What is the formula for calculating the force exerted by an object?,"A) F = ma, B) E = mc², C) P = F/A, D) W = Fd",A) F = ma,phisics
What is the difference between velocity and acceleration?,"A) Velocity is a scalar quantity and acceleration is a vector quantity., B) Velocity is a vector quantity and acceleration is a scalar quantity., C) Both velocity and acceleration are scalar quantities., D) Both velocity and acceleration are vector quantities.",B) Velocity is a vector quantity and acceleration is a scalar quantity.,phisics
What is the unit of measurement for electric current?,"A) Volts, B) Watts, C) Ohms, D) Amperes",D) Amperes,phisics
What is the formula for determining work done?,"a. F = ma, b. W = mgh, c. P = W/t, d. F = kx",b (W = mgh),phisics
What is the equation to calculate the force (F) of an object with mass (m) and acceleration (a)?,"a) F = m / a, b) F = m x a, c) F = m + a, d) F = m - a",b) F = m x a,phisics
What is the unit of measurement for force in the international system of units (SI)?,"A) Watts, B) Newtons, C) Kilograms, D) Meters",B) Newtons,phisics
Which of the following is an example of a non-contact force?,"A) Friction, B) Tension, C) Gravity, D) Magnetic force",D) Magnetic force,phisics
Which of the following is an example of an electromagnetic wave?,"A. Sound wave, B. Water wave, C. Light wave, D. Tsunami wave",C. Light wave,phisics
What is the formula to calculate kinetic energy?,"A) K = 1/2mv^2, B) F = ma, C) E = mc^2, D) P = F/A",A,phisics
What is Newton's First Law?,"A) An object at rest will stay at rest unless acted upon by an unbalanced force., B) The force acting on an object is equal to its mass times its acceleration., C) For every action, there is an equal and opposite reaction., D) An object in motion will stay in motion at a constant velocity unless acted upon by an unbalanced force.",D) An object in motion will stay in motion at a constant velocity unless acted upon by an unbalanced force.,phisics
What is the phenomenon when light bends as it passes through a medium with a different refractive index?,"A. Reflection, B. Refraction, C. Diffraction, D. Interference",B. Refraction,phisics
What is the smallest particle that makes up an atom?,"A) Neutron, B) Electron, C) Proton, D) Photon",B) Electron,phisics
"What is the relationship between force, mass, and acceleration?","a) Force = mass x acceleration, b) Mass = force x acceleration, c) Acceleration = force / mass, d) None of the above.",a) Force = mass x acceleration.,phisics
What is the formula for calculating force?,"A) Force = mass x acceleration, B) Force = velocity ÷ time, C) Force = work ÷ distance, D) Force = pressure x area",A) Force = mass x acceleration,phisics
What is the formula for force?,"A) F = m + a, B) F = ma, C) F = a/m, D) F = m/a",B) F = ma,phisics
What is the SI unit of force?,"a) Newton (N), b) Joule (J), c) Pascal (Pa), d) Watt (W)",a) Newton (N),phisics
What is the formula for calculating force?,"A) F = m/v , B) F = ma , C) F = mv ",B) F = ma,phisics
What is the formula for force (F) in physics?,"A) F = ma, B) F = PE, C) F = KE, D) F = 1/2 mv^2",A) F = ma,phisics
What is the formula for calculating the velocity of an object?,"A) v = at, B) v = d/t, C) v = mgh, D) v = Fnet/m",B) v = d/t. This formula calculates velocity by dividing the distance traveled by the time it took to travel that distance.,phisics
What is the unit of measurement for force in the International System of Units (SI)?,"a. Watts (W), b. Joules (J), c. Newtons (N), d. Meters per second (m/s)",c. Newtons (N),phisics
What is the unit of measure for electric current?,"a) Watt, b) Ohm, c) Ampere, d) Volt",c) Ampere,phisics
What is the fundamental unit of charge in physics?,"a) Coulomb, b) Ampere, c) Volt, d) Ohm",a) Coulomb,phisics
What is the law of conservation of energy?,"a) Energy cannot be created or destroyed, only converted from one form to another, b) Energy can only be created, not destroyed, c) Energy can only be destroyed, not created, d) Energy can be created or destroyed, depending on the circumstances",a,phisics
What is the unit of measurement for electric current?,"a) Ohm, b) Watt, c) Ampere, d) Volt",c) Ampere,phisics
What is the unit for the amount of electric charge?,"A) Joule, B) Volt, C) Coulomb , D) Newton",C) Coulomb,phisics
What is the unit of electric charge?,"A. Newton, B. Joule, C. Coulomb, D. Watt",C. Coulomb,phisics
What is the formula used to calculate force?,"A) F=ma, B) E=mc², C) P=mv, D) V=IR",A) F=ma,phisics
What is the formula for calculating kinetic energy?,"A) PE = mgh, B) KE = 1/2mv², C) F = ma, D) V = d/t",B) KE = 1/2mv²,phisics
What is the SI unit for measuring force?,"A) Joule, B) Newton, C) Watt, D) Ohm",B) Newton,phisics
What is the term used to describe the measure of a body's resistance to changes in motion?,"a) Acceleration, b) Velocity , c) Force, d) Inertia ",d) Inertia,phisics
What is the formula for calculating kinetic energy?,"A) E=mc^2, B) E=mv^2, C) F=ma, D) P=mv",B (E=mv^2),phisics
What is the formula for calculating velocity?,"A) v = d/t, B) v = a/t, C) v = mgh, D) v = Fnet/m",A) v = d/t,phisics
What is the formula for calculating Newton's second law?,"a) F = ma, b) E = mc², c) P = mv, d) F = mg",a) F = ma,phisics
What is the formula to calculate force?,"a) F = ma, b) F = mv, c) F = m/v, d) F = p/t",a) F = ma,phisics
What is the formula for calculating force?,"A) F=ma, B) F=mv², C) F=PA, D) F=hb/λ",The correct answer is A) F=ma.,phisics
What is the force that opposes motion between two surfaces in contact?,"a. Friction , b. Gravity , c. Magnetism , d. Centripetal Force ",a. Friction,phisics
"What is the formula that relates force, mass, and acceleration according to Newton's second law of motion?","A) F = m/a, B) F = am, C) m = Fa, D) a = Fm",A) F = m/a,phisics
What is the unit used to measure electric power consumption? ,"a) Joules, b) Watts, c) Newtons, d) Kilograms",b) Watts,phisics
What is the law of conservation of energy?,"A) Energy cannot be created, only destroyed, B) Energy can be converted from one form to another, but cannot be created or destroyed, C) All objects in motion will remain in motion unless acted upon by an external force, D) For every action there is an equal and opposite reaction",B,phisics
What is the unit of measurement for force in physics?,"A. Meter, B. Liter, C. Ampere, D. Newton",D. Newton,phisics
What is the formula for calculating work in physics?,"a) W=F/d, b) E=mc^2, c) F=ma, d) P=mv",a) W=F/d,phisics
What is the formula for calculating force?,"A) F = m/a, B) F = p/t, C) F = e/m, D) F = d/v",A) F = m/a,phisics
What is the difference between velocity and acceleration?,"a) Velocity is the change in position over time while acceleration is the change in velocity over time., b) Acceleration is the change in position over time while velocity is the change in velocity over time., c) Velocity and acceleration are the same thing., d) Velocity and acceleration are unrelated concepts.",a) Velocity is the change in position over time while acceleration is the change in velocity over time.,phisics
What is the formula to calculate force?,"A) F = mA, B) F = mv^2, C) F = ma^2, D) F = m/v",A) F = mA,phisics
What is the formula for calculating velocity?,"A) V = D/T, B) F = MA, C) E = MC², D) P = M/V",A) V = D/T,phisics
What is the unit of force in the International System of Units (SI)?,"A. Newtons, B. Joules, C. Amperes, D. Ohms",A. Newtons,phisics
